Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,,
12-06-2023 17:35:59.866,2297,16,2,16,-3,,,,
12-06-2023 17:35:59.888,2298,16,2,16,-3,,,,
12-06-2023 17:35:59.908,2299,16,2,16,-3,,,,
12-06-2023 17:35:59.926,2300,16,2,16,-3,,,,
12-06-2023 17:35:59.946,2301,16,2,16,-4,,,,
12-06-2023 17:35:59.965,2302,16,2,16,-4,,,,
12-06-2023 17:35:59.986,2303,16,2,16,-4,,,,
12-06-2023 17:36:00.008,2304,16,2,16,-4,,,,
12-06-2023 17:36:00.029,2305,16,2,16,-4,,,,
12-06-2023 17:36:00.048,2306,16,2,16,-4,,,,
12-06-2023 17:36:00.068,2307,16,2,16,-4,,,,
12-06-2023 17:36:00.086,2308,16,2,16,-4,,,,
12-06-2023 17:36:00.105,2309,16,2,16,-5,,,,
12-06-2023 17:36:00.126,2310,16,2,16,-5,,,,
12-06-2023 17:36:00.145,2311,16,2,16,-5,,,,
12-06-2023 17:36:00.165,2312,16,2,16,-5,,,,
12-06-2023 17:36:00.189,2313,16,2,16,-5,,,,
12-06-2023 17:36:00.210,2314,16,2,16,-5,,,,
12-06-2023 17:36:00.228,2315,16,1,16,-6,,,,
12-06-2023 17:36:00.246,2316,16,1,16,-5,,,,
12-06-2023 17:36:00.269,2317,16,2,16,-5,,,,
12-06-2023 17:36:00.284,2318,16,2,16,-5,,,,
12-06-2023 17:36:00.305,2319,16,2,16,-5,,,,
12-06-2023 17:36:00.328,2320,16,2,16,-5,,,,
12-06-2023 17:36:00.346,2321,16,2,16,-5,,,,
12-06-2023 17:36:00.367,2322,16,2,16,-5,,,,
12-06-2023 17:36:00.385,2323,16,2,16,-5,,,,
12-06-2023 17:36:00.407,2324,16,2,16,-5,,,,
12-06-2023 17:36:00.425,2325,16,2,16,-5,,,,
12-06-2023 17:36:00.447,2326,16,2,16,-5,,,,
12-06-2023 17:36:00.465,2327,16,2,16,-5,,,,
12-06-2023 17:36:00.487,2328,16,2,16,-5,,,,
12-06-2023 17:36:00.508,2329,16,1,16,-5,,,,
12-06-2023 17:36:00.527,2330,16,2,16,-5,,,,
12-06-2023 17:36:00.548,2331,16,2,16,-5,,,,
